"quantite_s1","quantite_s2","diff_s1_s2","quantite_s3","diff_s2_s3","quantite_s4","diff_s3_s4","quantite_s5","diff_s4_s5"
"388126","580400","49.54","525277","-9.50","480789","-8.47","602940","25.41"
"373313","560502","50.14","531729","-5.13","475870","-10.51","597165","25.49"
"390384","566318","45.07","526205","-7.08","487126","-7.43","604035","24.00"
"395669","581208","46.89","531895","-8.48","489062","-8.05","584631","19.54"
"372369","573572","54.03","536555","-6.45","470206","-12.37","589977","25.47"
"396240","575672","45.28","533679","-7.29","485384","-9.05","602888","24.21"
"389120","572634","47.16","557195","-2.70","494687","-11.22","608137","22.93"
"392780","575528","46.53","527526","-8.34","499889","-5.24","612564","22.54"
"387433","573729","48.08","543624","-5.25","494174","-9.10","610446","23.53"
"383904","564685","47.09","542601","-3.91","486630","-10.32","616954","26.78"
"390898","556970","42.48","539643","-3.11","487421","-9.68","591308","21.31"
"394903","556562","40.94","546918","-1.73","466744","-14.66","588024","25.98"
"393944","560748","42.34","527736","-5.89","482759","-8.52","602706","24.85"
"395080","563927","42.74","555681","-1.46","494462","-11.02","614045","24.18"
"390351","564026","44.49","537629","-4.68","488759","-9.09","594456","21.63"
"384226","564748","46.98","554665","-1.79","504132","-9.11","597199","18.46"
"386379","558597","44.57","521982","-6.55","471172","-9.73","597746","26.86"
"399632","568540","42.27","536690","-5.60","496920","-7.41","599149","20.57"
"389653","563743","44.68","534818","-5.13","488494","-8.66","597528","22.32"
"384811","553920","43.95","537495","-2.97","475831","-11.47","581457","22.20"
"390503","565108","44.71","538840","-4.65","495307","-8.08","596634","20.46"
"384681","573983","49.21","534773","-6.83","481473","-9.97","588626","22.26"
"380982","553524","45.29","538938","-2.64","489085","-9.25","602365","23.16"
"384933","580335","50.76","536087","-7.62","491562","-8.31","613160","24.74"
"384191","591351","53.92","535998","-9.36","493428","-7.94","603806","22.37"
"399978","571841","42.97","542315","-5.16","482736","-10.99","613134","27.01"
"385744","585538","51.79","537638","-8.18","482459","-10.26","611102","26.66"
