"province","top_vente","quantite","dieu"
"LYCIE","3","180997","DIONYSOS"
"LYCIE","4","179504","HÉRA"
"LYCIE","5","179465","ZEUS"
"LYDIE","1","194473","ZEUS"
"LYDIE","2","192729","ARTÉMIS"
"LYDIE","3","188199","APOLLON"
"LYDIE","4","184889","STYX"
"LYDIE","5","181609","DÉMÉTER"
"MESSÉNIE","1","415902","ARTÉMIS"
"MESSÉNIE","2","389616","DIONYSOS"
"MESSÉNIE","3","377657","STYX"
"MESSÉNIE","4","376111","APOLLON"
"MESSÉNIE","5","367639","DÉMÉTER"
"MILOS","1","193857","ARTÉMIS"
"MILOS","2","190081","ZEUS"
"MILOS","3","185823","DIONYSOS"
"MILOS","4","184803","STYX"
"MILOS","5","182870","APOLLON"
"MYSIE","1","221236","ARTÉMIS"
"MYSIE","2","183810","STYX"
"MYSIE","3","180643","HÉRA"
"MYSIE","4","176139","APOLLON"
"MYSIE","5","174014","ZEUS"
"NAXOS","1","216149","ARTÉMIS"
"NAXOS","2","200069","STYX"
"NAXOS","3","195751","APOLLON"
"NAXOS","4","191606","HÉRA"
"NAXOS","5","181015","DIONYSOS"
"NISSIROS","1","206561","STYX"
"NISSIROS","2","202905","ARTÉMIS"
"NISSIROS","3","179694","DIONYSOS"
"NISSIROS","4","178381","ZEUS"
"NISSIROS","5","178291","APOLLON"
"OECHALIE","1","198641","STYX"
"OECHALIE","2","197414","ARTÉMIS"
"OECHALIE","3","190980","DIONYSOS"
"OECHALIE","4","186351","APOLLON"
"OECHALIE","5","184790","ZEUS"
"PAPHLAGONIE","1","200380","ZEUS"
"PAPHLAGONIE","2","191716","STYX"
"PAPHLAGONIE","3","189522","DIONYSOS"
"PAPHLAGONIE","4","187646","ARTÉMIS"
"PAPHLAGONIE","5","184091","DÉMÉTER"
"PAROS","1","201542","ARTÉMIS"
"PAROS","2","191373","APOLLON"
"PAROS","3","181785","ZEUS"
"PAROS","4","180937","STYX"
"PAROS","5","178230","HÉRA"
"PAXOS","1","198051","HÉRA"
"PAXOS","2","196954","ARTÉMIS"
"PAXOS","3","194082","STYX"
"PAXOS","4","190861","DIONYSOS"
"PAXOS","5","186263","ZEUS"
"PÉONIE","1","197271","ARTÉMIS"
"PÉONIE","2","191954","STYX"
"PÉONIE","3","191827","APOLLON"
"PÉONIE","4","187817","HÉRA"
"PÉONIE","5","183631","DÉMÉTER"
"PERCOTE","1","199418","ARTÉMIS"
"PERCOTE","2","189741","STYX"
"PERCOTE","3","185557","DIONYSOS"
"PERCOTE","4","180607","ZEUS"
"PERCOTE","5","177168","HÉRA"
"PHÉNICIE","1","208065","ARTÉMIS"
"PHÉNICIE","2","185157","STYX"
"PHÉNICIE","3","177823","ZEUS"
"PHÉNICIE","4","177332","DÉMÉTER"
"PHÉNICIE","5","177003","DIONYSOS"
"PHRYGIE","1","206254","APOLLON"
"PHRYGIE","2","203039","ARTÉMIS"
"PHRYGIE","3","196796","STYX"
"PHRYGIE","4","194331","DIONYSOS"
"PHRYGIE","5","188634","ZEUS"
"PHTHIE","1","200168","ARTÉMIS"
"PHTHIE","2","194210","ZEUS"
"PHTHIE","3","188070","STYX"
"PHTHIE","4","181967","HÉRA"
"PHTHIE","5","178129","DÉMÉTER"
"RHODES","1","196946","STYX"
"RHODES","2","195142","ARTÉMIS"
"RHODES","3","189907","ZEUS"
"RHODES","4","189869","HÉRA"
"RHODES","5","180283","APOLLON"
"SAMOS","1","210653","ARTÉMIS"
"SAMOS","2","201040","STYX"
"SAMOS","3","174754","HÉRA"
"SAMOS","4","174642","DÉMÉTER"
"SAMOS","5","173216","APOLLON"
"SYRÈ","1","201715","ARTÉMIS"
"SYRÈ","2","195893","STYX"
"SYRÈ","3","195316","DIONYSOS"
"SYRÈ","4","184364","DÉMÉTER"
"SYRÈ","5","181767","HÉRA"
"THASSOS","1","204113","ARTÉMIS"
"THASSOS","2","191860","STYX"
"THASSOS","3","185720","DIONYSOS"
"THASSOS","4","184363","ZEUS"
"THASSOS","5","179117","APOLLON"
"THAUMACIE","1","209274","ARTÉMIS"
"THAUMACIE","2","180239","HÉRA"
"THAUMACIE","3","179805","STYX"
"THAUMACIE","4","179281","APOLLON"
"THAUMACIE","5","178440","DIONYSOS"
"THÉRA","1","205897","ARTÉMIS"
"THÉRA","2","191607","ZEUS"
"THÉRA","3","189251","DIONYSOS"
"THÉRA","4","186824","APOLLON"
"THÉRA","5","182426","STYX"
"THESSALIE","1","201979","STYX"
"THESSALIE","2","197836","ARTÉMIS"
"THESSALIE","3","194164","APOLLON"
"THESSALIE","4","191163","DIONYSOS"
"THESSALIE","5","186669","HÉRA"
"THRACE","1","194741","APOLLON"
"THRACE","2","191308","STYX"
"THRACE","3","189656","ARTÉMIS"
"THRACE","4","188261","ZEUS"
"THRACE","5","177229","HÉRA"
"TROADE","1","397843","ARTÉMIS"
"TROADE","2","386574","STYX"
"TROADE","3","373173","APOLLON"
"TROADE","4","370032","HÉRA"
"TROADE","5","360041","DIONYSOS"
"ZÉLÉE","1","212917","ARTÉMIS"
"ZÉLÉE","2","197389","DIONYSOS"
"ZÉLÉE","3","197079","STYX"
"ZÉLÉE","4","190361","ZEUS"
"ZÉLÉE","5","181425","HÉRA"
