"mois","dieu_fete","dieu","quantite_totale","quantite","part_dieu"
"ÉLAPHÉBOLION","ZEUS","PROTÉE","26911702","420913","1.56"
"ÉLAPHÉBOLION","ZEUS","PAION","26911702","417990","1.55"
"ÉLAPHÉBOLION","ZEUS","PERSÉPHONE","26911702","416809","1.55"
"ÉLAPHÉBOLION","ZEUS","NÉRÉE","26911702","413265","1.54"
"ÉLAPHÉBOLION","ZEUS","FLEUVES","26911702","413567","1.54"
"ÉLAPHÉBOLION","ZEUS","TRITON","26911702","411082","1.53"
"ÉLAPHÉBOLION","ZEUS","MUSES","26911702","411839","1.53"
"ÉLAPHÉBOLION","ZEUS","PLOUTOS","26911702","408226","1.52"
"ÉLAPHÉBOLION","ZEUS","KRONOS","26911702","146601","0.54"
"GAMÉLION","HÉRA","HÉRA","25688005","2282129","8.88"
"GAMÉLION","HÉRA","STYX","25688005","1251381","4.87"
"GAMÉLION","HÉRA","ARTÉMIS","25688005","1088999","4.24"
"GAMÉLION","HÉRA","PAN","25688005","1049690","4.09"
"GAMÉLION","HÉRA","DIONYSOS","25688005","1011769","3.94"
"GAMÉLION","HÉRA","APHRODITE","25688005","993353","3.87"
"GAMÉLION","HÉRA","APOLLON","25688005","989564","3.85"
"GAMÉLION","HÉRA","ARÈS","25688005","958412","3.73"
"GAMÉLION","HÉRA","DÉMÉTER","25688005","938045","3.65"
"GAMÉLION","HÉRA","ASCLÉPIOS","25688005","926598","3.61"
"GAMÉLION","HÉRA","HÉCATE","25688005","902276","3.51"
"GAMÉLION","HÉRA","ZEUS","25688005","838222","3.26"
"GAMÉLION","HÉRA","HERMÈS","25688005","795422","3.10"
"GAMÉLION","HÉRA","POSEIDON","25688005","776789","3.02"
"GAMÉLION","HÉRA","HÉPHAISTOS","25688005","743638","2.89"
"GAMÉLION","HÉRA","HADES","25688005","724939","2.82"
"GAMÉLION","HÉRA","ATHENA","25688005","720919","2.81"
"GAMÉLION","HÉRA","BRITOMARTIS","25688005","430102","1.67"
"GAMÉLION","HÉRA","MUSES","25688005","427715","1.67"
"GAMÉLION","HÉRA","BIA","25688005","427021","1.66"
"GAMÉLION","HÉRA","PROTÉE","25688005","423910","1.65"
"GAMÉLION","HÉRA","IASÔ","25688005","422658","1.65"
"GAMÉLION","HÉRA","TRITON","25688005","423136","1.65"
"GAMÉLION","HÉRA","NÉRÉE","25688005","421162","1.64"
"GAMÉLION","HÉRA","PHOBOS","25688005","421600","1.64"
"GAMÉLION","HÉRA","DEIMOS","25688005","418216","1.63"
"GAMÉLION","HÉRA","NIKÈ","25688005","418270","1.63"
"GAMÉLION","HÉRA","KHARITES","25688005","419083","1.63"
"GAMÉLION","HÉRA","PAION","25688005","418663","1.63"
"GAMÉLION","HÉRA","ZÉLOS","25688005","416522","1.62"
"GAMÉLION","HÉRA","EOLE","25688005","415425","1.62"
"GAMÉLION","HÉRA","FLEUVES","25688005","415037","1.62"
"GAMÉLION","HÉRA","PLOUTOS","25688005","415383","1.62"
"GAMÉLION","HÉRA","HYGIE","25688005","414523","1.61"
"GAMÉLION","HÉRA","PERSÉPHONE","25688005","414644","1.61"
"GAMÉLION","HÉRA","CRATOS","25688005","407392","1.59"
"GAMÉLION","HÉRA","HARPOCRATES","25688005","405244","1.58"
"GAMÉLION","HÉRA","KRONOS","25688005","320154","1.25"
"HÉCATOMBEION","KRONOS","ZEUS","25631957","1936273","7.55"
"HÉCATOMBEION","KRONOS","STYX","25631957","1281730","5.00"
"HÉCATOMBEION","KRONOS","ARTÉMIS","25631957","1089542","4.25"
"HÉCATOMBEION","KRONOS","PAN","25631957","1060762","4.14"
"HÉCATOMBEION","KRONOS","DIONYSOS","25631957","1012828","3.95"
"HÉCATOMBEION","KRONOS","APOLLON","25631957","999056","3.90"
"HÉCATOMBEION","KRONOS","HÉRA","25631957","991198","3.87"
"HÉCATOMBEION","KRONOS","APHRODITE","25631957","971071","3.79"
"HÉCATOMBEION","KRONOS","ARÈS","25631957","966300","3.77"
"HÉCATOMBEION","KRONOS","DÉMÉTER","25631957","960723","3.75"
"HÉCATOMBEION","KRONOS","HÉCATE","25631957","933285","3.64"
"HÉCATOMBEION","KRONOS","ASCLÉPIOS","25631957","883570","3.45"
"HÉCATOMBEION","KRONOS","HERMÈS","25631957","793341","3.10"
"HÉCATOMBEION","KRONOS","POSEIDON","25631957","779596","3.04"
"HÉCATOMBEION","KRONOS","HADES","25631957","744309","2.90"
"HÉCATOMBEION","KRONOS","HÉPHAISTOS","25631957","728992","2.84"
"HÉCATOMBEION","KRONOS","ATHENA","25631957","715216","2.79"
"HÉCATOMBEION","KRONOS","BRITOMARTIS","25631957","439583","1.71"
"HÉCATOMBEION","KRONOS","ZÉLOS","25631957","434481","1.70"
"HÉCATOMBEION","KRONOS","CRATOS","25631957","432302","1.69"
"HÉCATOMBEION","KRONOS","FLEUVES","25631957","432250","1.69"
"HÉCATOMBEION","KRONOS","PAION","25631957","431083","1.68"
"HÉCATOMBEION","KRONOS","EOLE","25631957","428321","1.67"
"HÉCATOMBEION","KRONOS","DEIMOS","25631957","425446","1.66"
"HÉCATOMBEION","KRONOS","PHOBOS","25631957","425724","1.66"
"HÉCATOMBEION","KRONOS","MUSES","25631957","425662","1.66"
"HÉCATOMBEION","KRONOS","TRITON","25631957","422210","1.65"
"HÉCATOMBEION","KRONOS","BIA","25631957","421730","1.65"
"HÉCATOMBEION","KRONOS","HYGIE","25631957","422335","1.65"
"HÉCATOMBEION","KRONOS","KHARITES","25631957","418839","1.63"
"HÉCATOMBEION","KRONOS","NIKÈ","25631957","418808","1.63"
"HÉCATOMBEION","KRONOS","PROTÉE","25631957","415077","1.62"
"HÉCATOMBEION","KRONOS","IASÔ","25631957","415298","1.62"
"HÉCATOMBEION","KRONOS","PERSÉPHONE","25631957","415441","1.62"
"HÉCATOMBEION","KRONOS","HARPOCRATES","25631957","412747","1.61"
"HÉCATOMBEION","KRONOS","NÉRÉE","25631957","410483","1.60"
"HÉCATOMBEION","KRONOS","PLOUTOS","25631957","405457","1.58"
"HÉCATOMBEION","KRONOS","KRONOS","25631957","330888","1.29"
"MAIMACTÉRION","ZEUS","ARTÉMIS","26974667","2556508","9.48"
"MAIMACTÉRION","ZEUS","ZEUS","26974667","1997218","7.40"
"MAIMACTÉRION","ZEUS","STYX","26974667","1300602","4.82"
"MAIMACTÉRION","ZEUS","PAN","26974667","1060742","3.93"
"MAIMACTÉRION","ZEUS","DIONYSOS","26974667","1017151","3.77"
"MAIMACTÉRION","ZEUS","APHRODITE","26974667","997367","3.70"
"MAIMACTÉRION","ZEUS","APOLLON","26974667","988870","3.67"
"MAIMACTÉRION","ZEUS","HÉRA","26974667","978022","3.63"
"MAIMACTÉRION","ZEUS","ARÈS","26974667","980395","3.63"
"MAIMACTÉRION","ZEUS","DÉMÉTER","26974667","936853","3.47"
"MAIMACTÉRION","ZEUS","ASCLÉPIOS","26974667","916357","3.40"
"MAIMACTÉRION","ZEUS","HÉCATE","26974667","907494","3.36"
"MAIMACTÉRION","ZEUS","HERMÈS","26974667","808499","3.00"
"MAIMACTÉRION","ZEUS","POSEIDON","26974667","766844","2.84"
"MAIMACTÉRION","ZEUS","HÉPHAISTOS","26974667","764431","2.83"
"MAIMACTÉRION","ZEUS","HADES","26974667","731523","2.71"
"MAIMACTÉRION","ZEUS","ATHENA","26974667","706477","2.62"
"MAIMACTÉRION","ZEUS","PAION","26974667","439412","1.63"
"MAIMACTÉRION","ZEUS","PHOBOS","26974667","433380","1.61"
"MAIMACTÉRION","ZEUS","FLEUVES","26974667","429317","1.59"
"MAIMACTÉRION","ZEUS","ZÉLOS","26974667","429581","1.59"
"MAIMACTÉRION","ZEUS","PERSÉPHONE","26974667","429716","1.59"
"MAIMACTÉRION","ZEUS","EOLE","26974667","426207","1.58"
"MAIMACTÉRION","ZEUS","KHARITES","26974667","426411","1.58"
"MAIMACTÉRION","ZEUS","NÉRÉE","26974667","425271","1.58"
"MAIMACTÉRION","ZEUS","BIA","26974667","423774","1.57"
"MAIMACTÉRION","ZEUS","CRATOS","26974667","420964","1.56"
"MAIMACTÉRION","ZEUS","IASÔ","26974667","421977","1.56"
"MAIMACTÉRION","ZEUS","HYGIE","26974667","417687","1.55"
"MAIMACTÉRION","ZEUS","TRITON","26974667","419265","1.55"
"MAIMACTÉRION","ZEUS","BRITOMARTIS","26974667","413760","1.53"
"MAIMACTÉRION","ZEUS","NIKÈ","26974667","412510","1.53"
"MAIMACTÉRION","ZEUS","HARPOCRATES","26974667","412199","1.53"
"MAIMACTÉRION","ZEUS","MUSES","26974667","413646","1.53"
"MAIMACTÉRION","ZEUS","PROTÉE","26974667","412453","1.53"
"MAIMACTÉRION","ZEUS","DEIMOS","26974667","403703","1.50"
"MAIMACTÉRION","ZEUS","PLOUTOS","26974667","405501","1.50"
"MAIMACTÉRION","ZEUS","KRONOS","26974667","142580","0.53"
"MÉTAGEITNION","ATHENA","ATHENA","26319231","2611965","9.92"
"MÉTAGEITNION","ATHENA","STYX","26319231","1281717","4.87"
"MÉTAGEITNION","ATHENA","ARTÉMIS","26319231","1125759","4.28"
"MÉTAGEITNION","ATHENA","PAN","26319231","1035916","3.94"
"MÉTAGEITNION","ATHENA","APOLLON","26319231","1003915","3.81"
"MÉTAGEITNION","ATHENA","APHRODITE","26319231","995377","3.78"
"MÉTAGEITNION","ATHENA","HÉRA","26319231","993081","3.77"
"MÉTAGEITNION","ATHENA","DIONYSOS","26319231","977479","3.71"
"MÉTAGEITNION","ATHENA","ARÈS","26319231","952118","3.62"
"MÉTAGEITNION","ATHENA","ASCLÉPIOS","26319231","943497","3.58"
"MÉTAGEITNION","ATHENA","HÉCATE","26319231","928373","3.53"
"MÉTAGEITNION","ATHENA","DÉMÉTER","26319231","923784","3.51"
"MÉTAGEITNION","ATHENA","ZEUS","26319231","850825","3.23"
"MÉTAGEITNION","ATHENA","HERMÈS","26319231","806072","3.06"
"MÉTAGEITNION","ATHENA","POSEIDON","26319231","764354","2.90"
"MÉTAGEITNION","ATHENA","HADES","26319231","743950","2.83"
"MÉTAGEITNION","ATHENA","HÉPHAISTOS","26319231","733893","2.79"
"MÉTAGEITNION","ATHENA","PAION","26319231","439167","1.67"
"MÉTAGEITNION","ATHENA","NÉRÉE","26319231","440036","1.67"
"MÉTAGEITNION","ATHENA","IASÔ","26319231","431912","1.64"
"MÉTAGEITNION","ATHENA","CRATOS","26319231","432514","1.64"
"MÉTAGEITNION","ATHENA","BRITOMARTIS","26319231","428473","1.63"
"MÉTAGEITNION","ATHENA","FLEUVES","26319231","429060","1.63"
"MÉTAGEITNION","ATHENA","BIA","26319231","430119","1.63"
"MÉTAGEITNION","ATHENA","PROTÉE","26319231","427118","1.62"
"MÉTAGEITNION","ATHENA","HYGIE","26319231","427302","1.62"
"MÉTAGEITNION","ATHENA","MUSES","26319231","427447","1.62"
"MÉTAGEITNION","ATHENA","KHARITES","26319231","425057","1.62"
"MÉTAGEITNION","ATHENA","EOLE","26319231","426637","1.62"
"MÉTAGEITNION","ATHENA","HARPOCRATES","26319231","424253","1.61"
"MÉTAGEITNION","ATHENA","ZÉLOS","26319231","424542","1.61"
"MÉTAGEITNION","ATHENA","TRITON","26319231","424442","1.61"
"MÉTAGEITNION","ATHENA","PERSÉPHONE","26319231","420772","1.60"
"MÉTAGEITNION","ATHENA","DEIMOS","26319231","420240","1.60"
"MÉTAGEITNION","ATHENA","NIKÈ","26319231","413690","1.57"
"MÉTAGEITNION","ATHENA","PLOUTOS","26319231","414401","1.57"
"MÉTAGEITNION","ATHENA","PHOBOS","26319231","407549","1.55"
"MÉTAGEITNION","ATHENA","KRONOS","26319231","132425","0.50"
"MOUNIKION","ARTÉMIS","ARTÉMIS","26803504","2625060","9.79"
"MOUNIKION","ARTÉMIS","POSEIDON","26803504","1739327","6.49"
"MOUNIKION","ARTÉMIS","STYX","26803504","1274411","4.75"
"MOUNIKION","ARTÉMIS","PAN","26803504","1067204","3.98"
"MOUNIKION","ARTÉMIS","APOLLON","26803504","1008163","3.76"
"MOUNIKION","ARTÉMIS","DIONYSOS","26803504","1002894","3.74"
"MOUNIKION","ARTÉMIS","APHRODITE","26803504","989088","3.69"
"MOUNIKION","ARTÉMIS","HÉRA","26803504","973280","3.63"
"MOUNIKION","ARTÉMIS","ARÈS","26803504","955121","3.56"
"MOUNIKION","ARTÉMIS","DÉMÉTER","26803504","930368","3.47"
"MOUNIKION","ARTÉMIS","ASCLÉPIOS","26803504","910138","3.40"
"MOUNIKION","ARTÉMIS","HÉCATE","26803504","906214","3.38"
"MOUNIKION","ARTÉMIS","ZEUS","26803504","835361","3.12"
"MOUNIKION","ARTÉMIS","HERMÈS","26803504","811445","3.03"
"MOUNIKION","ARTÉMIS","HÉPHAISTOS","26803504","784085","2.93"
"MOUNIKION","ARTÉMIS","HADES","26803504","744123","2.78"
"MOUNIKION","ARTÉMIS","ATHENA","26803504","684651","2.55"
"MOUNIKION","ARTÉMIS","FLEUVES","26803504","432822","1.61"
"MOUNIKION","ARTÉMIS","BIA","26803504","432299","1.61"
"MOUNIKION","ARTÉMIS","NÉRÉE","26803504","430397","1.61"
"MOUNIKION","ARTÉMIS","DEIMOS","26803504","430550","1.61"
"MOUNIKION","ARTÉMIS","EOLE","26803504","432520","1.61"
"MOUNIKION","ARTÉMIS","MUSES","26803504","428425","1.60"
"MOUNIKION","ARTÉMIS","NIKÈ","26803504","425581","1.59"
"MOUNIKION","ARTÉMIS","PLOUTOS","26803504","425815","1.59"
"MOUNIKION","ARTÉMIS","PAION","26803504","424025","1.58"
"MOUNIKION","ARTÉMIS","PROTÉE","26803504","422309","1.58"
"MOUNIKION","ARTÉMIS","IASÔ","26803504","417795","1.56"
"MOUNIKION","ARTÉMIS","HYGIE","26803504","417969","1.56"
"MOUNIKION","ARTÉMIS","KHARITES","26803504","414676","1.55"
"MOUNIKION","ARTÉMIS","PERSÉPHONE","26803504","415381","1.55"
"MOUNIKION","ARTÉMIS","HARPOCRATES","26803504","415348","1.55"
"MOUNIKION","ARTÉMIS","CRATOS","26803504","414082","1.54"
"MOUNIKION","ARTÉMIS","TRITON","26803504","413463","1.54"
"MOUNIKION","ARTÉMIS","ZÉLOS","26803504","412408","1.54"
"MOUNIKION","ARTÉMIS","PHOBOS","26803504","413606","1.54"
"MOUNIKION","ARTÉMIS","BRITOMARTIS","26803504","403991","1.51"
"MOUNIKION","ARTÉMIS","KRONOS","26803504","139109","0.52"
"POSÉIDÉON","POSEIDON","DÉMÉTER","26779232","2239893","8.36"
"POSÉIDÉON","POSEIDON","POSEIDON","26779232","1782740","6.66"
"POSÉIDÉON","POSEIDON","STYX","26779232","1275578","4.76"
"POSÉIDÉON","POSEIDON","ARTÉMIS","26779232","1105680","4.13"
"POSÉIDÉON","POSEIDON","PAN","26779232","1071618","4.00"
"POSÉIDÉON","POSEIDON","APOLLON","26779232","1031131","3.85"
"POSÉIDÉON","POSEIDON","DIONYSOS","26779232","1011610","3.78"
"POSÉIDÉON","POSEIDON","APHRODITE","26779232","996508","3.72"
"POSÉIDÉON","POSEIDON","HÉRA","26779232","983840","3.67"
"POSÉIDÉON","POSEIDON","ARÈS","26779232","966562","3.61"
"POSÉIDÉON","POSEIDON","ASCLÉPIOS","26779232","952814","3.56"
"POSÉIDÉON","POSEIDON","HÉCATE","26779232","903945","3.38"
"POSÉIDÉON","POSEIDON","ZEUS","26779232","833663","3.11"
"POSÉIDÉON","POSEIDON","HERMÈS","26779232","813545","3.04"
"POSÉIDÉON","POSEIDON","HÉPHAISTOS","26779232","744812","2.78"
"POSÉIDÉON","POSEIDON","HADES","26779232","733311","2.74"
"POSÉIDÉON","POSEIDON","ATHENA","26779232","699802","2.61"
"POSÉIDÉON","POSEIDON","DEIMOS","26779232","436237","1.63"
"POSÉIDÉON","POSEIDON","HYGIE","26779232","433031","1.62"
"POSÉIDÉON","POSEIDON","PHOBOS","26779232","435086","1.62"
"POSÉIDÉON","POSEIDON","KHARITES","26779232","429917","1.61"
"POSÉIDÉON","POSEIDON","NÉRÉE","26779232","427142","1.60"
"POSÉIDÉON","POSEIDON","PLOUTOS","26779232","424529","1.59"
"POSÉIDÉON","POSEIDON","MUSES","26779232","425945","1.59"
"POSÉIDÉON","POSEIDON","BIA","26779232","426642","1.59"
"POSÉIDÉON","POSEIDON","PAION","26779232","425291","1.59"
"POSÉIDÉON","POSEIDON","TRITON","26779232","424586","1.59"
"POSÉIDÉON","POSEIDON","PERSÉPHONE","26779232","425122","1.59"
"POSÉIDÉON","POSEIDON","NIKÈ","26779232","423118","1.58"
"POSÉIDÉON","POSEIDON","PROTÉE","26779232","423238","1.58"
"POSÉIDÉON","POSEIDON","ZÉLOS","26779232","422445","1.58"
"POSÉIDÉON","POSEIDON","FLEUVES","26779232","422940","1.58"
"POSÉIDÉON","POSEIDON","EOLE","26779232","419872","1.57"
"POSÉIDÉON","POSEIDON","BRITOMARTIS","26779232","419769","1.57"
"POSÉIDÉON","POSEIDON","IASÔ","26779232","417897","1.56"
"POSÉIDÉON","POSEIDON","CRATOS","26779232","417788","1.56"
"POSÉIDÉON","POSEIDON","HARPOCRATES","26779232","414794","1.55"
"POSÉIDÉON","POSEIDON","KRONOS","26779232","136791","0.51"
"PYANEPSION","DÉMÉTER","DÉMÉTER","26581522","2246111","8.45"
"PYANEPSION","DÉMÉTER","ATHENA","26581522","1600983","6.02"
"PYANEPSION","DÉMÉTER","STYX","26581522","1258962","4.74"
"PYANEPSION","DÉMÉTER","ARTÉMIS","26581522","1108992","4.17"
"PYANEPSION","DÉMÉTER","APOLLON","26581522","1036029","3.90"
"PYANEPSION","DÉMÉTER","PAN","26581522","1031573","3.88"
"PYANEPSION","DÉMÉTER","DIONYSOS","26581522","988226","3.72"
"PYANEPSION","DÉMÉTER","APHRODITE","26581522","984757","3.70"
"PYANEPSION","DÉMÉTER","ARÈS","26581522","956139","3.60"
"PYANEPSION","DÉMÉTER","HÉRA","26581522","947134","3.56"
"PYANEPSION","DÉMÉTER","ASCLÉPIOS","26581522","935012","3.52"
"PYANEPSION","DÉMÉTER","HÉCATE","26581522","910140","3.42"
"PYANEPSION","DÉMÉTER","ZEUS","26581522","871114","3.28"
"PYANEPSION","DÉMÉTER","HERMÈS","26581522","813619","3.06"
"PYANEPSION","DÉMÉTER","POSEIDON","26581522","765256","2.88"
"PYANEPSION","DÉMÉTER","HADES","26581522","759355","2.86"
"PYANEPSION","DÉMÉTER","HÉPHAISTOS","26581522","760638","2.86"
"PYANEPSION","DÉMÉTER","FLEUVES","26581522","432148","1.63"
"PYANEPSION","DÉMÉTER","TRITON","26581522","430539","1.62"
"PYANEPSION","DÉMÉTER","NÉRÉE","26581522","431115","1.62"
"PYANEPSION","DÉMÉTER","IASÔ","26581522","430390","1.62"
"PYANEPSION","DÉMÉTER","HARPOCRATES","26581522","427612","1.61"
"PYANEPSION","DÉMÉTER","BIA","26581522","427512","1.61"
"PYANEPSION","DÉMÉTER","DEIMOS","26581522","429278","1.61"
"PYANEPSION","DÉMÉTER","PERSÉPHONE","26581522","425995","1.60"
"PYANEPSION","DÉMÉTER","BRITOMARTIS","26581522","424262","1.60"
"PYANEPSION","DÉMÉTER","MUSES","26581522","425261","1.60"
"PYANEPSION","DÉMÉTER","KHARITES","26581522","425305","1.60"
"PYANEPSION","DÉMÉTER","HYGIE","26581522","425131","1.60"
"PYANEPSION","DÉMÉTER","PHOBOS","26581522","422962","1.59"
"PYANEPSION","DÉMÉTER","NIKÈ","26581522","422005","1.59"
"PYANEPSION","DÉMÉTER","PAION","26581522","423819","1.59"
"PYANEPSION","DÉMÉTER","PROTÉE","26581522","422224","1.59"
"PYANEPSION","DÉMÉTER","CRATOS","26581522","413711","1.56"
"PYANEPSION","DÉMÉTER","EOLE","26581522","412854","1.55"
"PYANEPSION","DÉMÉTER","PLOUTOS","26581522","409475","1.54"
"PYANEPSION","DÉMÉTER","ZÉLOS","26581522","404254","1.52"
